EXIF ExposureTime,EXIF FNumber,EXIF ExposureProgram,EXIF ISOSpeedRatings,EXIF ExifVersion,EXIF DateTimeOriginal,EXIF DateTimeDigitized,EXIF ComponentsConfiguration,EXIF ShutterSpeedValue,EXIF ApertureValue
1/30,2,Program Normal,64,0220,2018:11:17 11:49:47,2018:11:17 11:49:47,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 11:50:03,2018:11:17 11:50:03,YCbCr,49/10,2
1/30,2,Program Normal,100,0220,2018:11:17 11:50:24,2018:11:17 11:50:24,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 11:50:58,2018:11:17 11:50:58,YCbCr,49/10,2
1/30,2,Program Normal,160,0220,2018:11:17 11:50:58,2018:11:17 11:50:58,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 11:51:34,2018:11:17 11:51:34,YCbCr,49/10,2
1/60,2,Program Normal,64,0220,2018:11:17 11:52:00,2018:11:17 11:52:00,YCbCr,59/10,2
1/40,2,Program Normal,64,0220,2018:11:17 11:52:07,2018:11:17 11:52:07,YCbCr,133/25,2
1/30,2,Program Normal,320,0220,2018:11:17 11:52:18,2018:11:17 11:52:18,YCbCr,49/10,2
1/30,2,Program Normal,80,0220,2018:11:17 11:52:29,2018:11:17 11:52:29,YCbCr,49/10,2
1/30,2,Program Normal,64,0220,2018:11:17 11:52:42,2018:11:17 11:52:42,YCbCr,49/10,2
1/30,2,Program Normal,400,0220,2018:11:17 11:53:15,2018:11:17 11:53:15,YCbCr,49/10,2
1/24,2,Program Normal,500,0220,2018:11:17 11:53:21,2018:11:17 11:53:21,YCbCr,229/50,2
1/30,2,Program Normal,160,0220,2018:11:17 11:53:26,2018:11:17 11:53:26,YCbCr,49/10,2
1/30,2,Program Normal,64,0220,2018:11:17 11:53:31,2018:11:17 11:53:31,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 11:53:36,2018:11:17 11:53:36,YCbCr,49/10,2
1/30,2,Program Normal,320,0220,2018:11:17 11:53:40,2018:11:17 11:53:40,YCbCr,49/10,2
1/24,2,Program Normal,400,0220,2018:11:17 11:53:51,2018:11:17 11:53:51,YCbCr,229/50,2
1/30,2,Program Normal,160,0220,2018:11:17 11:54:03,2018:11:17 11:54:03,YCbCr,49/10,2
1/30,2,Program Normal,125,0220,2018:11:17 11:54:40,2018:11:17 11:54:40,YCbCr,49/10,2
1/30,2,Program Normal,200,0220,2018:11:17 11:55:41,2018:11:17 11:55:41,YCbCr,49/10,2
1/30,2,Program Normal,500,0220,2018:11:17 11:55:48,2018:11:17 11:55:48,YCbCr,49/10,2
